Nah, di episode kali ini kita akan membahas apa yang belakangan ini sedang terjadi dengan Indonesia.,"Well, in this episode we will discuss what has been happening with Indonesia lately."
Saat ini internet sedang ramai dengan hashtag #kaburajadulu dan #IndonesiaGelap.,"Currently the internet is buzzing with the hashtags #kaburajadulu and #IndonesiaGelap."
Sebenarnya di dalam podcast ini aku berusaha untuk hanya membahas topik-topik yang positif supaya para pendengar bisa merasa senang waktu mendengarkan podcast ini.,"Actually, in this podcast I try to only discuss positive topics so that listeners can feel happy while listening to this podcast."
Namun, rasanya aku perlu membagikan informasi ini sekaligus mengeluarkan unek-unekku, emosiku.,"However, I feel I need to share this information while also letting out my feelings and emotions."
Tentu saja masalah-masalah ini sama sekali bukan masalah yang mudah, tapi aku akan berusaha menyampaikannya dengan cara yang sederhana.,"Of course, these issues are by no means easy, but I will try to convey them in a simple way."
Nah, belakangan ini banyak anak-anak muda Indonesia yang menyampaikan unek-uneknya dengan hashtag #kaburajadulu.,"Well, lately many young Indonesians have been expressing their frustrations with the hashtag #kaburajadulu."
Banyak yang mau kabur, lari, pergi dari Indonesia untuk berkuliah, bekerja, bahkan pindah ke luar negeri.,"Many want to run away, escape, leave Indonesia to study, work, or even move abroad."
Kenapa ya? Untuk meningkatkan kualitas hidup.,"Why? To improve their quality of life."
Banyak yang berpendapat hidup di luar negeri bisa lebih baik.,"Many argue that living abroad can be better."
"Di sana gaji lebih tinggi, dan kerja keras serta kemampuan mereka bisa lebih dihargai.","There, salaries are higher, and their hard work and skills can be better appreciated."
Memang keadaan Indonesia belakangan ini semakin hari semakin kacau dan berantakan.,"Indeed, the situation in Indonesia lately has been getting more chaotic and messy by the day."
"Alasan terbesarnya menurutku adalah kebijakan pemerintah dan peraturan yang berubah-ubah terus, tidak jelas arah dan tujuannya.","In my opinion, the main reason is government policies and regulations that keep changing constantly, with unclear direction and purpose."
"Dalam berbagai bidang, kebijakannya berubah-ubah terus, mulai dari pendidikan, ekonomi, sampai perpajakan (tax).","In various sectors, policies keep changing constantly, starting from education, economy, to taxation."
"Belum lagi soal efisiensi anggaran, pengeluaran pemerintah yang dikurangi, dipotong, dipangkas untuk membiayai program-program pemerintah yang baru, seperti Danantara, organisasi superholding yang mengatur investasi negara.","Not to mention budget efficiency, where government spending is reduced, cut, and slashed to finance new government programs, like Danantara, a superholding organization managing state investments."
"Selain itu, ada juga program makan bergizi gratis untuk anak-anak sekolah.","In addition, there is also a free nutritious meal program for schoolchildren."
"Banyak masyarakat yang tidak setuju karena untuk membiayai program-program ini, anggaran pendidikan harus dikurangi.","Many people disagree because to fund these programs, the education budget has to be reduced."
